id_name ra dec SDSS_up_mean SDSS_up_std_err SDSS_gp_mean SDSS_gp_std_err SDSS_rp_mean SDSS_rp_std_err SDSS_ip_mean SDSS_ip_std_err SDSS_zp_mean SDSS_zp_std_err ra_err dec_err
CALIBSTARS_0000001 308.500219 -1.227713 23.823 0.611 22.269 0.05 20.834 0.017 20.202 0.015 19.818 0.04 0.008579793537309458 0.008579793537309458
CALIBSTARS_0000002 308.500072 -1.240266 21.966 0.093 20.462 0.014 19.768 0.011 19.504 0.013 19.386 0.034 0.005329299069430103 0.005329299069430103
CALIBSTARS_0000003 308.500101 -1.217158 19.385 0.012 17.977 0.005 17.317 0.004 17.05 0.005 16.874 0.007 0.0058206528843420995 0.0058206528843420995
CALIBSTARS_0000004 308.501912 -1.176494 20.598 0.028 18.459 0.006 17.556 0.005 17.188 0.006 16.966 0.009 0.004422184334207958 0.004422184334207958
CALIBSTARS_0000005 308.504615 -1.174191 23.985 0.634 23.022 0.097 21.326 0.025 20.331 0.016 19.747 0.036 0.015118578920369089 0.015118578920369089
CALIBSTARS_0000006 308.501254 -1.119302 22.454 0.275 20.099 0.013 19.127 0.007 18.763 0.009 18.505 0.015 0.005868986283848344 0.005868986283848344
CALIBSTARS_0000007 308.503096 -1.132302 19.332 0.012 17.807 0.005 17.161 0.004 16.91 0.004 16.755 0.006 0.010429825022501575 0.010429825022501575
CALIBSTARS_0000008 308.507505 -1.225594 19.552 0.013 18.071 0.005 17.453 0.004 17.22 0.005 17.077 0.007 0.006916749856068858 0.006916749856068858
CALIBSTARS_0000009 308.508754 -1.213904 19.163 0.011 17.709 0.004 17.085 0.004 16.833 0.005 16.678 0.007 0.010998766164568512 0.010998766164568512
CALIBSTARS_0000010 308.509244 -1.119027 18.861 0.009 17.476 0.004 16.903 0.004 16.667 0.006 16.535 0.007 0.002757716446627535 0.002757716446627535
CALIBSTARS_0000011 308.509407 -1.117215 22.018 0.14 19.037 0.006 17.634 0.004 17.038 0.005 16.694 0.006 0.006363961030678927 0.006363961030678927
CALIBSTARS_0000012 308.510228 -1.168783 17.17 0.007 15.615 0.004 14.936 0.003 14.654 0.005 14.485 0.005 0.004497777228809804 0.004497777228809804
CALIBSTARS_0000013 308.508202 -1.167295 20.387 0.023 18.402 0.006 17.549 0.004 17.184 0.006 16.943 0.007 0.008379215357060587 0.008379215357060587
CALIBSTARS_0000014 308.510897 -1.072856 20.719 0.035 19.424 0.008 18.821 0.007 18.598 0.01 18.485 0.018 0.007778174593052022 0.007778174593052022
CALIBSTARS_0000015 308.512024 -1.263168 18.344 0.009 16.792 0.004 16.121 0.004 15.853 0.005 15.697 0.006 0.005707263542439331 0.005707263542439331
CALIBSTARS_0000016 308.511883 -1.217849 19.438 0.013 17.593 0.004 16.856 0.004 16.584 0.005 16.419 0.006 0.0060474315681476355 0.0060474315681476355
CALIBSTARS_0000017 308.513011 -1.120582 19.033 0.01 17.663 0.004 17.098 0.004 16.857 0.004 16.724 0.006 0.004808326112068523 0.004808326112068523
CALIBSTARS_0000018 308.51723 -1.230374 19.387 0.012 17.446 0.004 16.666 0.004 16.389 0.005 16.21 0.006 0.009071147352221453 0.009071147352221453
CALIBSTARS_0000019 308.513465 -1.094427 23.669 0.308 20.628 0.011 19.124 0.005 18.335 0.005 17.874 0.01 0.0026870057685088804 0.0026870057685088804
CALIBSTARS_0000020 308.522416 -1.207148 18.775 0.009 17.42 0.004 16.8 0.004 16.533 0.005 16.381 0.007 0.014967393131165399 0.014967393131165399
CALIBSTARS_0000021 308.522611 -1.205683 21.56 0.089 20.002 0.025 19.192 0.017 18.887 0.021 18.662 0.039 0.007748271696689158 0.007748271696689158
