### This is file stripe82calibStars_v4.2.dat created on December 20, 2020.
###  
### This version (4.2) INCLUDES GAIA-BASED COLOR CORRECTIONS (EDR3).
### The version with only EDR3-based gray corrections is v4.1! 
### 
### A catalog of 991,472 standard stars from SDSS stripe 82.
###
### This catalog is a revised version of the catalog described in 
### Ivezic et al. 2007 (Astronomical Journal, 134, 973). The main 
### differences include:
### - due to additional SDSS data, about twice as many epochs are used 
###    in photometric averaging, resulting in about 30% smaller random 
###    photometric errors
### - systematic photometric zeropoint errors, as functions of RA and
###    Dec are estimated and corrected for using Gaia EDR3 photometry.
###
### Processing details and catalog analysis are discussed in 
###  Thanjavur et al. (2021). 
### 
### The selection steps for this catalog include: 
###  1) star is listed in the original 2007 catalog (v2.6)
###  2) the star remained non-variable (chi2 < 3 in gri); 
###  this version includes 98.5% stars from the original (v2.6) catalog
###
### There is one line per star, and each line lists (in this order):
###  0) every line starts with the string CALIBSTARS_ID, where ID is the
###     star's sequential listing number from the v2.6 catalog
###  1) RA Dec RArms Decrms: the mean position and its rms per coordinate,
###     this is J2000, decimal degrees for RA and Dec, and arcsec for rms
###     NB: standard errors can be computed as rms/sqrt(Ntot)
###  2) Ntot: the total number of epochs
###  3) Ar: the Schlegel, Finkbeiner & Davis (1998) ISM extinction value in 
###     the r band; extinction in other bands can be computed as [Rv=3.1]: 
###     Am = Cm*Ar, with Cm=(1.873, 1.377, 0.758, 0.537) for m=(ugiz) 
###  4) and then in each band (ugriz, in this order):
###       (Nobs mmed mmu msig mrms mchi2), which are: 
###       the total number of observations in this band
###       the median magnitude 
###       the mean magnitude
###       the standard error for the mean (1.25 larger for the median)
###       the root-mean-square scatter
###       chi2 per degree of freedom (computed using the mean magnitude)
### 
### **** IMPORTANT IMPORTANT IMPORTANT IMPORTANT IMPORTANT **** 
###  1) To select sources with reliable photometry in the u and z bands
###     don't forget to require Nobs >= 4
###  2) to avoid a slight bias (~0.02 mag) at the faint end in the gri  
###     bands, require msig*sqrt(Nobs) < 0.03 
### **** IMPORTANT IMPORTANT IMPORTANT IMPORTANT IMPORTANT **** 
### 
###  For more details, in case of problems, etc., send email to 
###  Karun Thanjavur (karun@uvic.ca) or Zeljko Ivezic (ivezic@uw.edu).
### 
CALIBSTARS_0000001  308.500219  -1.227713 0.0227 0.0227   7   0.587  3 23.870 23.823 0.611 0.060 0.056   6 22.388 22.269 0.050 0.154 1.554   7 20.832 20.834 0.017 0.056 1.050   7 20.168 20.202 0.015 0.046 1.105   7 19.900 19.818 0.040 0.116 1.212 
CALIBSTARS_0000002  308.500072  -1.240266 0.0141 0.0141   7   0.596  4 21.970 21.966 0.093 0.045 0.225   7 20.488 20.462 0.014 0.042 1.116   7 19.763 19.768 0.011 0.052 0.299   7 19.532 19.504 0.013 0.032 0.808   7 19.439 19.386 0.034 0.095 0.824 
CALIBSTARS_0000003  308.500101  -1.217158 0.0154 0.0154   7   0.579  7 19.394 19.385 0.012 0.021 0.625   6 17.977 17.977 0.005 0.008 0.566   7 17.318 17.317 0.004 0.008 0.889   7 17.052 17.050 0.005 0.027 1.752   6 16.873 16.874 0.007 0.004 0.215 
CALIBSTARS_0000004  308.501912  -1.176494 0.0117 0.0117   7   0.559  7 20.605 20.598 0.028 0.081 0.852   6 18.457 18.459 0.006 0.007 0.428   7 17.549 17.556 0.005 0.022 0.797   6 17.198 17.188 0.006 0.007 0.496   7 16.968 16.966 0.009 0.022 0.653 
CALIBSTARS_0000005  308.504615  -1.174191 0.0400 0.0400   7   0.556  2 23.955 23.985 0.634 0.103 0.114   5 23.084 23.022 0.097 0.133 0.542   7 21.299 21.326 0.025 0.060 0.992   7 20.347 20.331 0.016 0.061 1.381   7 19.861 19.747 0.036 0.168 1.733 
CALIBSTARS_0000006  308.501254  -1.119302 0.0166 0.0166   8   0.537  3 22.436 22.454 0.275 0.123 0.126   7 20.103 20.099 0.013 0.008 0.118   8 19.141 19.127 0.007 0.022 0.561   7 18.765 18.763 0.009 0.010 0.146   8 18.515 18.505 0.015 0.016 0.403 
CALIBSTARS_0000007  308.503096  -1.132302 0.0295 0.0295   8   0.543  6 19.335 19.332 0.012 0.009 0.257   7 17.810 17.807 0.005 0.008 0.689   8 17.158 17.161 0.004 0.012 0.962   7 16.907 16.910 0.004 0.005 0.334   8 16.757 16.755 0.006 0.012 0.673 
CALIBSTARS_0000008  308.507505  -1.225594 0.0183 0.0183   7   0.575  7 19.542 19.552 0.013 0.043 1.258   7 18.077 18.071 0.005 0.014 1.124   7 17.452 17.453 0.004 0.007 0.586   7 17.222 17.220 0.005 0.011 0.737   7 17.086 17.077 0.007 0.018 0.793 
CALIBSTARS_0000009  308.508754  -1.213904 0.0291 0.0291   7   0.565  7 19.170 19.163 0.011 0.021 0.711   6 17.708 17.709 0.004 0.008 0.643   7 17.086 17.085 0.004 0.004 0.394   7 16.831 16.833 0.005 0.018 1.296   7 16.678 16.678 0.007 0.019 0.989 
CALIBSTARS_0000010  308.509244  -1.119027 0.0078 0.0078   8   0.533  8 18.868 18.861 0.009 0.025 0.914   7 17.478 17.476 0.004 0.003 0.276   8 16.899 16.903 0.004 0.009 0.858   6 16.669 16.667 0.006 0.004 0.240   8 16.530 16.535 0.007 0.013 0.789 
