Model_name,Model_ID,SED_name,Model
MOD_000001,1,PL/pl_beta_0.00.sed,0.00
MOD_000002,2,PL/pl_beta_0.05.sed,0.05
MOD_000003,3,PL/pl_beta_0.10.sed,0.10
MOD_000004,4,PL/pl_beta_0.15.sed,0.15
MOD_000005,5,PL/pl_beta_0.20.sed,0.20
MOD_000006,6,PL/pl_beta_0.25.sed,0.25
MOD_000007,7,PL/pl_beta_0.30.sed,0.30
MOD_000008,8,PL/pl_beta_0.35.sed,0.35
MOD_000009,9,PL/pl_beta_0.40.sed,0.40
MOD_000010,10,PL/pl_beta_0.45.sed,0.45
MOD_000011,11,PL/pl_beta_0.50.sed,0.50
MOD_000012,12,PL/pl_beta_0.55.sed,0.55
MOD_000013,13,PL/pl_beta_0.60.sed,0.60
MOD_000014,14,PL/pl_beta_0.65.sed,0.65
MOD_000015,15,PL/pl_beta_0.70.sed,0.70
MOD_000016,16,PL/pl_beta_0.75.sed,0.75
MOD_000017,17,PL/pl_beta_0.80.sed,0.80
MOD_000018,18,PL/pl_beta_0.85.sed,0.85
MOD_000019,19,PL/pl_beta_0.90.sed,0.90
MOD_000020,20,PL/pl_beta_0.95.sed,0.95
MOD_000021,21,PL/pl_beta_1.00.sed,1.00
MOD_000022,22,PL/pl_beta_1.05.sed,1.05
MOD_000023,23,PL/pl_beta_1.10.sed,1.10
MOD_000024,24,PL/pl_beta_1.15.sed,1.15
MOD_000025,25,PL/pl_beta_1.20.sed,1.20
MOD_000026,26,PL/pl_beta_1.25.sed,1.25
MOD_000027,27,PL/pl_beta_1.30.sed,1.30
MOD_000028,28,PL/pl_beta_1.35.sed,1.35
MOD_000029,29,PL/pl_beta_1.40.sed,1.40
MOD_000030,30,PL/pl_beta_1.45.sed,1.45
MOD_000031,31,PL/pl_beta_1.50.sed,1.50
MOD_000032,32,PL/pl_beta_1.55.sed,1.55
MOD_000033,33,PL/pl_beta_1.60.sed,1.60
MOD_000034,34,PL/pl_beta_1.65.sed,1.65
MOD_000035,35,PL/pl_beta_1.70.sed,1.70
MOD_000036,36,PL/pl_beta_1.75.sed,1.75
MOD_000037,37,PL/pl_beta_1.80.sed,1.80
MOD_000038,38,PL/pl_beta_1.85.sed,1.85
MOD_000039,39,PL/pl_beta_1.90.sed,1.90
MOD_000040,40,PL/pl_beta_1.95.sed,1.95
MOD_000041,41,PL/pl_beta_2.00.sed,2.00
MOD_000042,42,PL/pl_beta_2.05.sed,2.05
MOD_000043,43,PL/pl_beta_2.10.sed,2.10
MOD_000044,44,PL/pl_beta_2.15.sed,2.15
MOD_000045,45,PL/pl_beta_2.20.sed,2.20
MOD_000046,46,PL/pl_beta_2.25.sed,2.25
MOD_000047,47,PL/pl_beta_2.30.sed,2.30
MOD_000048,48,PL/pl_beta_2.35.sed,2.35
MOD_000049,49,PL/pl_beta_2.45.sed,2.45
MOD_000050,50,PL/pl_beta_2.50.sed,2.50
MOD_000051,51,PL/pl_beta_2.55.sed,2.55
MOD_000052,52,PL/pl_beta_2.60.sed,2.60
MOD_000053,53,PL/pl_beta_2.65.sed,2.65
MOD_000054,54,PL/pl_beta_2.70.sed,2.70
MOD_000055,55,PL/pl_beta_2.75.sed,2.75
MOD_000056,56,PL/pl_beta_2.80.sed,2.80
MOD_000057,57,PL/pl_beta_2.85.sed,2.85
MOD_000058,58,PL/pl_beta_2.90.sed,2.90
MOD_000059,59,PL/pl_beta_2.95.sed,2.95
MOD_000060,60,PL/pl_beta_3.00.sed,3.00
