name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J095221.06-011105.6,148.08777163038317,-1.1849038986191691,17.264765,0.016937872,16.053728,0.016132647,15.69005,0.012902398,15.532076,0.013365661,15.477924,0.018893195,15.5181,0.0037580614
SDSS J095221.60-011331.0,148.0900291028512,-1.2252824674789533,18.307053,0.019110557,16.700481,0.0162127,16.08838,0.012962702,15.859881,0.013434375,15.763849,0.019045966,15.7521,0.0043028854
SDSS J095222.11-011335.5,148.0921633020319,-1.226554287405478,19.998817,0.0366337,18.743994,0.01741159,18.235336,0.014077565,18.035374,0.014783822,17.929873,0.025965918,17.9884,0.020057771
SDSS J095222.22-011341.9,148.09258640053304,-1.2283125290275536,22.245834,0.18752483,19.50175,0.019470314,18.295843,0.014153949,17.81798,0.014418032,17.586336,0.023218108,17.4388,0.013115921
SDSS J095208.88-011038.6,148.03700994551016,-1.17740488529508,20.126186,0.039208513,19.229147,0.018513672,18.805454,0.015203406,18.608788,0.016268328,18.497414,0.03309742,18.63,0.034023527
SDSS J095215.18-011051.9,148.063257126893,-1.1810864419760068,19.41026,0.027142929,18.166115,0.016806671,17.626926,0.013428789,17.37819,0.013962474,17.275772,0.021637388,17.2699,0.011570181
SDSS J095215.63-011255.0,148.06515910456164,-1.215281005085508,20.16259,0.04004768,17.569838,0.016450707,16.350344,0.012986988,15.837109,0.013402755,15.53087,0.018923286,15.4419,0.0036151316
SDSS J095218.65-011412.7,148.0777223037754,-1.2368763038281718,19.792501,0.032601904,18.50536,0.017136838,18.034393,0.013816776,17.841955,0.014453117,17.761288,0.024451481,17.811,0.017466035
SDSS J095219.89-011524.4,148.08288720876936,-1.256792491185444,21.46224,0.102382034,19.709578,0.020430893,18.980322,0.015781749,18.691576,0.016615715,18.552534,0.03481723,18.6336,0.03156046
SDSS J095221.70-011013.9,148.09044301590757,-1.170541187451161,21.104362,0.07474295,18.419538,0.0191068,17.21454,0.013968012,16.757738,0.014103104,16.524794,0.02005227,16.4116,0.0064025386
SDSS J095221.82-011009.5,148.09095604583186,-1.1693308769730315,20.712358,0.055280633,19.505924,0.09259342,19.028206,0.23115313,18.801104,0.26908025,18.687813,0.2682606,-9.99999e+08,-9.9999949E8
SDSS J095222.01-011452.2,148.09174738612802,-1.2478389744386893,20.458864,0.04640493,18.109379,0.016756848,17.123043,0.01319509,16.740099,0.013613213,16.55741,0.019851658,16.4731,0.00669976
SDSS J095213.71-011412.8,148.0571522668784,-1.236906671782273,22.012995,0.16128048,21.115383,0.03953307,20.655483,0.03427798,20.43418,0.041227758,20.237186,0.1236509,20.3129,0.14992419
SDSS J095217.26-011421.5,148.07192472663678,-1.2393071652438807,18.121084,0.01877568,17.059954,0.016286714,16.661167,0.013051582,16.504229,0.0135376295,16.43639,0.019670393,16.4958,0.0068044085
SDSS J095212.18-011121.3,148.05077904875174,-1.189267952606068,20.76193,0.05979,18.370016,0.016985422,17.412655,0.013324628,17.029657,0.013739188,16.825474,0.020299995,16.7821,0.008221551
SDSS J095235.22-011225.7,148.14678673098587,-1.2071598713756968,19.206614,0.025537036,18.027935,0.012703394,17.585733,0.009977341,17.423906,0.013829593,17.36283,0.02134287,17.4325,0.012836166
SDSS J095235.52-011201.4,148.14802714311713,-1.2004118761367573,17.543594,0.017891401,16.263681,0.0119680045,15.794807,0.00927279,15.620134,0.013124812,15.572439,0.018020228,15.5846,0.003917856
SDSS J095237.94-011404.8,148.15808334928803,-1.2346865779128224,18.243254,0.019800778,17.023153,0.01213298,16.542088,0.00942589,16.35391,0.013255166,16.288158,0.018589351,16.3071,0.005976135
SDSS J095240.54-011453.2,148.16894573518795,-1.2481118485690375,18.21373,0.019704059,16.432104,0.011992659,15.724431,0.009263699,15.43994,0.013104814,15.309646,0.0179192,15.2543,0.0032606584
SDSS J095240.67-011304.4,148.1694659333289,-1.2178989981715758,18.775497,0.022137664,17.350132,0.012256871,16.77889,0.009504275,16.557232,0.01331555,16.488613,0.018839952,16.5288,0.006888188
SDSS J095246.53-011130.2,148.19387866584313,-1.19174912344967,18.833813,0.022612559,17.014729,0.012133723,16.284237,0.009360934,16.001066,0.013180074,15.869638,0.0181887,15.8336,0.0045127277
SDSS J095251.09-011501.1,148.21290775966713,-1.2503270775280182,19.141615,0.025010873,18.13528,0.012785688,17.74191,0.0101288315,17.577806,0.01391149,17.505732,0.02205275,17.5665,0.01416502
SDSS J095211.61-011158.8,148.04839637440205,-1.199669822369777,17.426638,0.017053716,15.421589,0.016086312,14.645838,0.012842498,14.3710785,0.01329835,14.237783,0.018618368,14.1758,0.0018685582
SDSS J095227.81-011438.7,148.11587698788856,-1.2440945384090702,21.312302,0.09113107,20.179901,0.023818508,19.853022,0.021306941,19.695925,0.024368681,19.624268,0.07407445,19.9086,0.10010306
SDSS J095232.65-011116.0,148.1360534075744,-1.187799594233122,18.945992,0.02285045,17.67294,0.01649931,17.153456,0.013206504,16.942005,0.013691672,16.857925,0.020351917,16.8881,0.008739235
SDSS J095232.43-011414.7,148.13515059036536,-1.2374266274448933,21.688004,0.12558512,20.411152,0.0284545,20.08997,0.031615097,19.890604,0.040619645,19.922468,0.105411746,19.8963,0.09897997
SDSS J095204.29-011407.8,148.01788828977138,-1.2355118290908478,21.606659,0.11500236,19.514017,0.01950997,18.577806,0.014668719,18.210777,0.015129159,17.998966,0.026586205,18.0073,0.020538263
SDSS J095207.71-011422.5,148.03213880648576,-1.2395964395940504,21.305492,0.07993717,19.228645,0.018708609,18.427412,0.01459922,18.1508,0.015102262,17.980938,0.025901467,17.9318,0.019325493
SDSS J095205.45-011021.1,148.0227251571309,-1.172529666095121,18.78398,0.021746239,17.482204,0.016413746,16.977985,0.013139503,16.77928,0.013626962,16.688023,0.020016761,16.7287,0.0079242345
SDSS J095252.83-011418.2,148.22016095231714,-1.2383943849308068,17.804558,0.01838633,15.13558,0.011864859,13.914942,0.009152866,13.428424,0.013025899,13.183868,0.017596541,13.0528,0.001095248
SDSS J095231.27-011339.0,148.13033162518326,-1.227513087720117,21.589365,0.11813339,19.9748,0.02210603,19.240713,0.016879234,18.919392,0.017716529,18.747248,0.038663734,18.7336,0.036028396
SDSS J095254.74-011227.5,148.22812195065305,-1.2076622423573964,22.43694,0.25791827,21.89198,0.07351037,21.350914,0.059996217,21.058071,0.07088909,20.560705,0.1637132,0.634,
SDSS J095259.82-011543.0,148.2492704634779,-1.2619531407431912,17.659546,0.018125769,16.016943,0.011933639,15.334467,0.00922292,15.025145,0.013080147,14.889673,0.017798811,14.813,0.0025605117
SDSS J095301.61-011301.4,148.2567136580703,-1.2170815977628533,18.273355,0.019674687,16.880217,0.012090809,16.3602,0.009379926,16.153214,0.013207918,16.07873,0.018363014,16.0816,0.0052128895
SDSS J095207.84-011343.6,148.03269714440665,-1.228803768625923,17.48701,0.017274452,16.19213,0.01614542,15.702023,0.0129039865,15.51407,0.013365054,15.430368,0.01888369,15.4601,0.0036654
SDSS J095236.18-011514.2,148.1507843847413,-1.2539476916068477,22.18137,0.18797022,20.906067,0.032758627,20.57571,0.031220082,20.53353,0.044506665,20.458555,0.14931165,20.5252,0.1737088
SDSS J095242.03-011200.3,148.17513646338284,-1.2000975899159587,22.123114,0.19373812,21.817734,0.06465408,21.6011,0.073475465,21.400576,0.086338185,20.786991,0.19280472,0.634,
SDSS J095316.41-011346.5,148.3183774275326,-1.2296080270883234,17.98218,0.017016368,16.75561,0.018711971,16.306438,0.010474504,16.111273,0.014958684,16.041945,0.02126831,16.0795,0.0052682767
SDSS J095320.24-011352.5,148.33436582405193,-1.2312591914359354,19.122265,0.023303058,17.957506,0.019088248,17.598104,0.01103362,17.439716,0.015470732,17.370342,0.02383638,17.4328,0.0129884705
SDSS J095321.48-011228.7,148.3395175389482,-1.2079812123957472,18.070122,0.0172782,16.56965,0.018684544,15.985307,0.010418526,15.772773,0.014909847,15.673453,0.02104923,15.6827,0.004180585
SDSS J095247.61-011137.1,148.1983997777045,-1.1936447858464998,22.155207,0.18273574,21.070784,0.037569195,20.319567,0.026720762,20.008669,0.03152459,19.863998,0.09031578,19.8512,0.09547357
SDSS J095327.23-011029.7,148.3634687294691,-1.1749328893154831,17.651571,0.01615951,16.562984,0.018682731,16.18502,0.01044168,16.050133,0.014947057,16.01665,0.02124537,16.1237,0.0054154713
SDSS J095338.31-011058.3,148.40965954693885,-1.1828671234977608,18.768074,0.020548398,17.45024,0.020328116,16.921696,0.017568983,16.73645,0.026001444,16.662743,0.023501461,16.6832,0.007704105
SDSS J095338.01-011053.9,148.4083908261655,-1.1816632118018515,21.23461,0.087748505,18.607264,0.019728402,17.373596,0.010903477,16.87217,0.015177855,16.567646,0.021855274,16.4546,0.006644342
SDSS J095340.51-011427.2,148.41881234041597,-1.2408980847174413,18.8521,0.020899594,17.202045,0.018801192,16.54914,0.010529836,16.311817,0.014997896,16.186989,0.02139601,16.178,0.0055909217
SDSS J095309.87-011013.7,148.2911495500434,-1.1704749911843577,20.972813,0.06980076,19.811502,0.023012845,19.373219,0.015871536,19.188293,0.020389523,19.157564,0.05100135,19.2456,0.054976918
SDSS J095310.51-011215.4,148.293801848263,-1.2042897851088847,19.97432,0.034096416,18.55471,0.019572107,17.914856,0.011347601,17.61246,0.015608574,17.459757,0.024184883,17.4433,0.012834764
SDSS J095309.94-011214.9,148.29144181156087,-1.2041582763051826,22.209244,0.19123746,19.736233,0.022620633,18.454624,0.012224303,17.926064,0.015970772,17.633526,0.025083486,17.5319,0.013709821
