name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J105004.19-010328.4,162.51746639344938,-1.0578958019792242,16.394136,0.015703779,15.314531,0.011347887,14.953084,0.013488643,14.7780075,0.021696137,14.713319,0.022135518,14.8066,0.0023130458
SDSS J105010.49-010816.7,162.54371774419081,-1.1379766439736065,18.636665,0.022603199,16.434042,0.014658422,15.557596,0.021290902,15.233021,0.03191783,15.06827,0.02995801,14.993,0.0025457374
SDSS J105015.64-011000.7,162.56520767411865,-1.166866482687345,17.037876,0.016457733,15.987872,0.011416549,15.880323,0.013561841,15.8554325,0.0217568,15.922149,0.022544798,16,0.0040761568
SDSS J104958.90-011450.5,162.49541833002763,-1.2473823831905855,20.43541,0.057434246,18.255056,0.012603369,17.374308,0.013973208,17.083767,0.022016503,16.895313,0.023730325,16.8465,0.0066664666
SDSS J105020.83-011336.7,162.58680060834715,-1.2268675502603876,20.631649,0.06807161,18.72475,0.013377277,17.883673,0.014343686,17.576042,0.022238981,17.432522,0.025365483,17.4169,0.008933251
SDSS J105022.27-011436.8,162.5928324501616,-1.243557350562561,20.707745,0.0722038,19.615654,0.016713804,19.470766,0.019037485,19.444487,0.027754705,19.399086,0.06197453,19.8771,0.055082142
SDSS J105023.68-010555.4,162.59869577161902,-1.0987244938310143,20.291935,0.052610386,19.830088,0.018230686,19.323536,0.018143386,19.213345,0.025964564,19.336664,0.05879571,19.4285,0.038705505
SDSS J105024.26-010610.0,162.60112274375118,-1.1027796828800225,19.021076,0.025817607,16.30468,0.011468244,15.081681,0.013495781,14.609705,0.021690175,14.329132,0.022084309,14.2516,0.0017323339
SDSS J105027.28-010849.8,162.61369129317,-1.147193795163636,20.289125,0.052682757,19.156826,0.014697812,18.719845,0.015791934,18.569288,0.023402689,18.494783,0.03518921,18.5963,0.020075263
SDSS J105016.80-011153.1,162.57000589599122,-1.198095777556733,21.652994,0.14890915,20.681238,0.028136317,20.325542,0.029148888,20.142122,0.036673024,20.095564,0.10747613,20.4422,0.08999742
SDSS J104958.82-011405.6,162.4950954557749,-1.2348901988060403,17.910793,0.019091249,16.114302,0.011440978,15.4086075,0.01351684,15.188552,0.021713812,15.048052,0.022203404,15.0246,0.0025741437
SDSS J105003.26-010529.2,162.51359377983582,-1.0914719074801151,18.695608,0.02345661,17.419306,0.011866182,16.946516,0.013783438,16.76766,0.02190044,16.67183,0.023291059,16.7696,0.006508771
SDSS J105021.66-010843.0,162.59028737170328,-1.1452866571875593,18.945833,0.025615273,17.601025,0.011980303,17.047882,0.013822073,16.8616,0.021909576,16.758627,0.023445232,16.7993,0.0062608467
SDSS J105003.50-011234.8,162.51460115114517,-1.2096717531491359,19.706226,0.036628608,18.405214,0.012826732,17.878626,0.01435441,17.719128,0.022350453,17.597475,0.026140265,17.6498,0.01089699
SDSS J104958.85-010548.1,162.49524572762692,-1.0967019960383078,21.010405,0.08893387,20.015293,0.01965871,19.69902,0.02092122,19.628494,0.028685248,19.428495,0.062592044,19.5558,0.0451825
SDSS J105000.01-011219.6,162.5000727231718,-1.2054451861753623,20.947042,0.085742466,19.76195,0.01764379,19.218065,0.017695902,19.069296,0.025382204,19.02206,0.047506984,19.0478,0.029720087
SDSS J105004.99-011241.7,162.5207924222137,-1.211592436080796,19.110926,0.027746592,17.214094,0.011754481,16.458044,0.013653407,16.191526,0.021797601,16.017847,0.02260804,15.9865,0.004182325
SDSS J105059.18-010953.5,162.74660838486352,-1.1648780652498554,19.075176,0.024368484,17.889273,0.019118685,17.436932,0.01261275,17.280752,0.032292895,17.217468,0.02503613,17.3293,0.008643686
SDSS J105105.24-011151.8,162.7718363616325,-1.1977311330987794,18.80416,0.021469198,16.419971,0.018677443,15.406079,0.012064191,15.006461,0.032045636,14.843012,0.022675423,14.7156,0.0022224763
SDSS J105105.44-010514.3,162.77267041245986,-1.0873253214067549,18.359735,0.017884238,16.880217,0.01875038,16.321186,0.012185413,16.109198,0.03209682,15.998184,0.023105398,16.0458,0.0043362547
SDSS J105038.51-010433.2,162.66047928024662,-1.0759106322604548,20.097385,0.0452001,18.969452,0.02034152,18.609766,0.014191071,18.450056,0.03310994,18.384844,0.033643134,18.5351,0.020769285
SDSS J105005.96-010409.5,162.5248425263368,-1.0693089499693906,18.787401,0.024279984,17.3054,0.011823885,16.76942,0.013839346,16.55157,0.022255031,16.426105,0.023170616,16.5051,0.0055483184
SDSS J105006.16-010415.5,162.52568006326655,-1.0709814240280264,21.97167,0.19163105,19.506035,0.15166341,18.158339,0.0849842,17.280317,0.057607077,16.754936,0.037283763,16.656,0.006042366
SDSS J105010.28-010813.3,162.5428642757603,-1.137028154145856,20.071348,0.08121476,17.3439,0.07300647,15.98588,0.04365418,15.352329,0.039075933,15.044622,0.03456521,14.8916,0.002423304
