Model_name,Model_ID,SED_name,Model
MOD_000001,1,MARA23032010/CB1_0_LOIII4.sed,CB1_0_LOIII4.sed
MOD_000002,2,MARA23032010/S0_template_norm.sed,S0_template_norm.sed
MOD_000003,3,MARA23032010/Sb_template_norm.sed,Sb_template_norm.sed
MOD_000004,4,MARA23032010/Spi4_template_norm.sed,Spi4_template_norm.sed
MOD_000005,5,MARA23032010/M82_template_norm.sed,M82_template_norm.sed
MOD_000006,6,MARA23032010/I22491_template_norm.sed.save,I22491_template_norm.sed.save
MOD_000007,7,MARA23032010/Sey18_template_norm.sed,Sey18_template_norm.sed
MOD_000008,8,MARA23032010/Sey2_template_norm.sed,Sey2_template_norm.sed
MOD_000009,9,MARA23032010/S0_10_QSO2_90.sed,S0_10_QSO2_90.sed
MOD_000010,10,MARA23032010/S0_20_QSO2_80.sed,S0_20_QSO2_80.sed
MOD_000011,11,MARA23032010/S0_30_QSO2_70.sed,S0_30_QSO2_70.sed
MOD_000012,12,MARA23032010/S0_40_QSO2_60.sed,S0_40_QSO2_60.sed
MOD_000013,13,MARA23032010/S0_50_QSO2_50.sed,S0_50_QSO2_50.sed
MOD_000014,14,MARA23032010/S0_60_QSO2_40.sed,S0_60_QSO2_40.sed
MOD_000015,15,MARA23032010/S0_70_QSO2_30.sed,S0_70_QSO2_30.sed
MOD_000016,16,MARA23032010/S0_80_QSO2_20.sed,S0_80_QSO2_20.sed
MOD_000017,17,MARA23032010/S0_90_QSO2_10.sed,S0_90_QSO2_10.sed
MOD_000018,18,MARA23032010/Mrk231_template_norm.sed,Mrk231_template_norm.sed
MOD_000019,19,MARA23032010/I22491_90_TQSO1_10.sed,I22491_90_TQSO1_10.sed
MOD_000020,20,MARA23032010/I22491_80_TQSO1_20.sed,I22491_80_TQSO1_20.sed
MOD_000021,21,MARA23032010/I22491_70_TQSO1_30.sed,I22491_70_TQSO1_30.sed
MOD_000022,22,MARA23032010/I22491_60_TQSO1_40.sed,I22491_60_TQSO1_40.sed
MOD_000023,23,MARA23032010/I22491_50_TQSO1_50.sed,I22491_50_TQSO1_50.sed
MOD_000024,24,MARA23032010/I22491_40_TQSO1_60.sed,I22491_40_TQSO1_60.sed
MOD_000025,25,MARA23032010/pl_I22491_30_TQSO1_70.sed,pl_I22491_30_TQSO1_70.sed
MOD_000026,26,MARA23032010/pl_I22491_20_TQSO1_80.sed,pl_I22491_20_TQSO1_80.sed
MOD_000027,27,MARA23032010/pl_I22491_10_TQSO1_90.sed,pl_I22491_10_TQSO1_90.sed
MOD_000028,28,MARA23032010/pl_QSOH_template_norm.sed,pl_QSOH_template_norm.sed
MOD_000029,29,MARA23032010/pl_QSO_DR2_029_t0.spec,pl_QSO_DR2_029_t0.spec
MOD_000030,30,MARA23032010/pl_TQSO1_template_norm.sed,pl_TQSO1_template_norm.sed
